"subject_age","subject_race","subject_sex","lng","lat","violation_type","prob"
40,"white","male",-111.8551095,33.3931936,"without_proper_documents_or_vehicle_defects",0.074
28,"black","female",-111.8573045,33.3931589,"distracted_driving",0
28,"black","female",-111.8573045,33.3931589,"leaving_scene_of_an_accident_informing",0
28,"black","female",-111.8573045,33.3931589,"reckless_driving",0.004
28,"black","female",-111.8573045,33.3931589,"running_red_light_or_without_headlight",0.048
28,"black","female",-111.8573045,33.3931589,"without_proper_documents_or_vehicle_defects",0.948
27,"black","female",-111.8583343,33.4003866,"distracted_driving",0.004
27,"black","female",-111.8583343,33.4003866,"leaving_scene_of_an_accident_informing",0
27,"black","female",-111.8583343,33.4003866,"reckless_driving",0.02
27,"black","female",-111.8583343,33.4003866,"running_red_light_or_without_headlight",0.014
27,"black","female",-111.8583343,33.4003866,"without_proper_documents_or_vehicle_defects",0.962
24,"hispanic","male",-111.8401593,33.3932471,"distracted_driving",0.974
24,"hispanic","male",-111.8401593,33.3932471,"leaving_scene_of_an_accident_informing",0
24,"hispanic","male",-111.8401593,33.3932471,"reckless_driving",0
24,"hispanic","male",-111.8401593,33.3932471,"running_red_light_or_without_headlight",0.026
24,"hispanic","male",-111.8401593,33.3932471,"without_proper_documents_or_vehicle_defects",0
22,"hispanic","male",-111.822936,33.3987225,"distracted_driving",0.016
22,"hispanic","male",-111.822936,33.3987225,"leaving_scene_of_an_accident_informing",0
22,"hispanic","male",-111.822936,33.3987225,"reckless_driving",0.016
22,"hispanic","male",-111.822936,33.3987225,"running_red_light_or_without_headlight",0.028
22,"hispanic","male",-111.822936,33.3987225,"without_proper_documents_or_vehicle_defects",0.94
25,"white","male",-111.8637339,33.3931272,"distracted_driving",0.962
25,"white","male",-111.8637339,33.3931272,"leaving_scene_of_an_accident_informing",0
25,"white","male",-111.8637339,33.3931272,"reckless_driving",0.038
25,"white","male",-111.8637339,33.3931272,"running_red_light_or_without_headlight",0
25,"white","male",-111.8637339,33.3931272,"without_proper_documents_or_vehicle_defects",0
31,"white","female",-111.8745993,33.4003219,"distracted_driving",0.004
31,"white","female",-111.8745993,33.4003219,"leaving_scene_of_an_accident_informing",0
31,"white","female",-111.8745993,33.4003219,"reckless_driving",0
31,"white","female",-111.8745993,33.4003219,"running_red_light_or_without_headlight",0
31,"white","female",-111.8745993,33.4003219,"without_proper_documents_or_vehicle_defects",0.996
31,"white","male",-111.8401487,33.3953745,"distracted_driving",1
31,"white","male",-111.8401487,33.3953745,"leaving_scene_of_an_accident_informing",0
31,"white","male",-111.8401487,33.3953745,"reckless_driving",0
31,"white","male",-111.8401487,33.3953745,"running_red_light_or_without_headlight",0
31,"white","male",-111.8401487,33.3953745,"without_proper_documents_or_vehicle_defects",0
20,"hispanic","female",-111.7063784,33.4083815,"distracted_driving",0
20,"hispanic","female",-111.7063784,33.4083815,"leaving_scene_of_an_accident_informing",0
20,"hispanic","female",-111.7063784,33.4083815,"reckless_driving",0.142
20,"hispanic","female",-111.7063784,33.4083815,"running_red_light_or_without_headlight",0.098
20,"hispanic","female",-111.7063784,33.4083815,"without_proper_documents_or_vehicle_defects",0.76
30,"white","male",-111.848402,33.405927,"distracted_driving",0
30,"white","male",-111.848402,33.405927,"leaving_scene_of_an_accident_informing",0
30,"white","male",-111.848402,33.405927,"reckless_driving",0.178
30,"white","male",-111.848402,33.405927,"running_red_light_or_without_headlight",0.428
30,"white","male",-111.848402,33.405927,"without_proper_documents_or_vehicle_defects",0.394
35,"hispanic","male",-111.8551095,33.3931936,"distracted_driving",0.006
35,"hispanic","male",-111.8551095,33.3931936,"leaving_scene_of_an_accident_informing",0
35,"hispanic","male",-111.8551095,33.3931936,"reckless_driving",0.84
35,"hispanic","male",-111.8551095,33.3931936,"running_red_light_or_without_headlight",0.002
35,"hispanic","male",-111.8551095,33.3931936,"without_proper_documents_or_vehicle_defects",0.152
21,"other","female",-111.8573563,33.3911853,"distracted_driving",0
21,"other","female",-111.8573563,33.3911853,"leaving_scene_of_an_accident_informing",0.004
21,"other","female",-111.8573563,33.3911853,"reckless_driving",0.016
21,"other","female",-111.8573563,33.3911853,"running_red_light_or_without_headlight",0
21,"other","female",-111.8573563,33.3911853,"without_proper_documents_or_vehicle_defects",0.98
45,"other","female",-111.8397105,33.4079178,"distracted_driving",0
45,"other","female",-111.8397105,33.4079178,"leaving_scene_of_an_accident_informing",0
45,"other","female",-111.8397105,33.4079178,"reckless_driving",0.018
45,"other","female",-111.8397105,33.4079178,"running_red_light_or_without_headlight",0.094
45,"other","female",-111.8397105,33.4079178,"without_proper_documents_or_vehicle_defects",0.888
25,"hispanic","male",-111.8567402,33.4136242,"distracted_driving",0
25,"hispanic","male",-111.8567402,33.4136242,"leaving_scene_of_an_accident_informing",0
25,"hispanic","male",-111.8567402,33.4136242,"reckless_driving",0.808
25,"hispanic","male",-111.8567402,33.4136242,"running_red_light_or_without_headlight",0
25,"hispanic","male",-111.8567402,33.4136242,"without_proper_documents_or_vehicle_defects",0.192
30,"white","male",-111.8515231,33.3642354,"distracted_driving",0
30,"white","male",-111.8515231,33.3642354,"leaving_scene_of_an_accident_informing",0
30,"white","male",-111.8515231,33.3642354,"reckless_driving",0.178
30,"white","male",-111.8515231,33.3642354,"running_red_light_or_without_headlight",0.428
30,"white","male",-111.8515231,33.3642354,"without_proper_documents_or_vehicle_defects",0.394
67,"white","male",-111.8527309,33.4004244,"distracted_driving",0.066
67,"white","male",-111.8527309,33.4004244,"leaving_scene_of_an_accident_informing",0
67,"white","male",-111.8527309,33.4004244,"reckless_driving",0.034
67,"white","male",-111.8527309,33.4004244,"running_red_light_or_without_headlight",0
67,"white","male",-111.8527309,33.4004244,"without_proper_documents_or_vehicle_defects",0.9
33,"hispanic","male",-111.8401593,33.3932471,"distracted_driving",0
33,"hispanic","male",-111.8401593,33.3932471,"leaving_scene_of_an_accident_informing",0
33,"hispanic","male",-111.8401593,33.3932471,"reckless_driving",0
33,"hispanic","male",-111.8401593,33.3932471,"running_red_light_or_without_headlight",0.876
33,"hispanic","male",-111.8401593,33.3932471,"without_proper_documents_or_vehicle_defects",0.124
33,"white","female",-111.8265697,33.43495,"distracted_driving",0
33,"white","female",-111.8265697,33.43495,"leaving_scene_of_an_accident_informing",0.016
